Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:30,61017,6,30
아시아나항공,06:40,58136,6,40
대한항공,07:00,114746,7,0
제주항공,07:40,54916,7,40
아시아나항공,07:55,58136,7,55
티웨이항공,07:55,94238,7,55
대한항공,08:00,114746,8,0
이스타항공,08:10,66102,8,10
아시아나항공,08:20,58136,8,20
이스타항공,08:30,53560,8,30
아시아나항공,08:45,61017,8,45
티웨이항공,08:45,65424,8,45
이스타항공,08:50,57628,8,50
대한항공,09:10,114746,9,10
아시아나항공,09:20,72712,9,20
에어부산,09:40,73729,9,40
제주항공,09:45,67797,9,45
이스타항공,09:50,61865,9,50
아시아나항공,09:50,72712,9,50
티웨이항공,10:00,65424,10,0
대한항공,10:10,114746,10,10
아시아나항공,10:20,88475,10,20
제주항공,10:35,67797,10,35
대한항공,10:35,114746,10,35
대한항공,10:45,114746,10,45
제주항공,10:50,67797,10,50
티웨이항공,11:05,64916,11,5
제주항공,11:15,63729,11,15
티웨이항공,11:35,64916,11,35
이스타항공,11:35,66102,11,35
제주항공,11:40,67797,11,40
대한항공,11:40,114746,11,40
제주항공,12:05,73051,12,5
아시아나항공,12:10,88475,12,10
제주항공,12:20,74407,12,20
이스타항공,12:45,70339,12,45
티웨이항공,12:45,72373,12,45
대한항공,12:50,114746,12,50
이스타항공,13:00,70339,13,0
대한항공,13:05,114746,13,5
에어부산,13:10,77967,13,10
제주항공,13:25,110000,13,25
대한항공,13:25,114746,13,25
티웨이항공,13:30,78645,13,30
이스타항공,13:30,86102,13,30
아시아나항공,13:50,114407,13,50
대한항공,14:00,167119,14,0
아시아나항공,14:10,96441,14,10
아시아나항공,14:20,105255,14,20
이스타항공,14:45,92373,14,45
이스타항공,14:55,97119,14,55
이스타항공,19:45,97119,19,45
대한항공,19:50,173560,19,50
티웨이항공,19:55,97797,19,55
제주항공,20:00,97967,20,0
에어부산,20:10,94746,20,10
아시아나항공,20:20,105255,20,20
이스타항공,20:25,97119,20,25
티웨이항공,20:30,94238,20,30
대한항공,20:30,114746,20,30
제주항공,20:50,93051,20,50
아시아나항공,20:50,96441,20,50
대한항공,20:50,114746,20,50
아시아나항공,20:55,96441,20,55
제주항공,21:05,88645,21,5
티웨이항공,21:05,90170,21,5
대한항공,21:05,114746,21,5
제주항공,21:10,87797,21,10
아시아나항공,21:10,96441,21,10
티웨이항공,21:15,90170,21,15
이스타항공,21:15,92373,21,15
제주항공,21:20,93051,21,20
